trial, person, filename, eye, t0, x, y
0,0,01_12.png,L,-110,548.8,268.29999999999995
0,0,01_12.png,L,306,422.5,201
0,0,01_12.png,L,566,150.79999999999995,172.3
0,0,01_12.png,L,918,402.5,166.3
0,0,01_12.png,L,1298,725.5999999999999,162.10000000000002
0,0,01_12.png,L,1682,190.10000000000002,182.79999999999995
0,0,01_12.png,L,1966,154.5,411.4
0,0,01_12.png,L,2130,138.20000000000005,444.5
0,0,01_12.png,L,2342,364.9,448.6
0,0,01_12.png,L,2806,424,163.2
0,0,01_12.png,L,2986,406.79999999999995,112.39999999999998
0,0,01_12.png,L,3226,131.5,123.69999999999999
0,0,01_12.png,L,3642,159.10000000000002,246.20000000000005
0,0,01_12.png,L,3842,186.20000000000005,431.9
0,0,01_12.png,L,4150,368.20000000000005,434.4
0,0,01_12.png,L,4690,715.5,151.3
0,0,01_12.png,L,4830,782,103.89999999999998
0,0,01_12.png,L,5362,982,114.30000000000001
0,0,01_12.png,L,5586,998.7,372.9
0,0,01_12.png,L,5818,452.1,424.1
0,0,01_12.png,L,5974,356.79999999999995,427.20000000000005
0,0,01_12.png,L,6266,368.4,147.3
0,0,01_12.png,L,6446,376.1,90.80000000000001
0,0,01_12.png,L,6798,367.1,112.10000000000002
0,0,01_12.png,L,6966,376.9,77.60000000000002
0,0,01_12.png,L,7298,98.39999999999998,98.30000000000001
0,0,01_12.png,L,7990,157.89999999999998,351.9
0,0,01_12.png,L,8126,147.10000000000002,382.9
0,0,01_12.png,L,8498,378.1,117.69999999999999
0,0,01_12.png,L,8654,387.29999999999995,60.5
0,0,01_12.png,L,9174,346.5,404.29999999999995
0,0,01_12.png,L,9630,320.79999999999995,395.79999999999995
0,0,01_12.png,L,10018,311.79999999999995,376.79999999999995
0,0,01_12.png,L,10546,136.70000000000005,378
0,0,01_12.png,L,11086,724,145.2
0,0,01_12.png,L,11210,742.5999999999999,76
0,0,01_12.png,L,11494,722.9000000000001,297.6
0,0,01_12.png,L,11654,703.8,338.79999999999995
0,0,01_12.png,L,12170,351.6,388.9
0,0,01_12.png,L,12526,396.4,87.60000000000002
0,0,01_12.png,L,12690,392.9,48.5
0,0,01_12.png,L,12806,956.5,75.5
0,0,01_12.png,L,13554,971.7,315.29999999999995
0,0,01_12.png,L,14322,712.2,321.70000000000005
0,0,01_12.png,L,14722,778.7,75
0,0,01_12.png,L,14914,756.4000000000001,46.80000000000001
0,0,01_12.png,L,15590,732.4000000000001,36.80000000000001
0,0,01_12.png,L,15918,755.0999999999999,39.39999999999998
0,0,01_12.png,L,17502,99.30000000000001,33.89999999999998
0,0,01_12.png,L,17934,385.5,25.19999999999999
0,0,01_12.png,L,18730,146.29999999999995,328.6
0,0,01_12.png,L,19102,285.6,342.70000000000005
0,0,01_12.png,L,19434,139.39999999999998,353
0,0,01_12.png,L,20278,296.5,345.20000000000005
0,0,01_12.png,L,20554,705.2,267.5
0,0,01_12.png,L,20774,714.4000000000001,84.89999999999998
0,0,01_12.png,L,20982,476.20000000000005,308.1
0,0,01_12.png,L,21282,493.5,263.9
0,0,01_12.png,L,21522,631.2,302.1
0,0,01_12.png,L,22190,663.5999999999999,315.6
0,1,01_12.png,R,-119,548.3,270.20000000000005
0,1,01_12.png,R,233,406.1,196.89999999999998
